name,viaf,wiki,pages
Fracastorius Hieronymus,32017562,Q318593,"20,62,225,284,285"
Fraguerius Claudius Fr.,,,147
Franciscus Cremensis,,,"149,158"
Franciscus (Frandsen) Johannes,69743947,Q110222791,"264,265"
Franck von Frankanstein Valentinus,,,225
Fredro Andreas Max.,44515461,Q648051,245
Freinshemius Johannes,82776509,Q85927,276
Freire Antonius,84501706,Q12898762,123
Frendo Christophorus,,,102
Frenzelius Salomon,,Q55098583,"199,259,260"
Frischlinus Nicodemus,51787739,Q72975,"188,199,231"
Frobenius Johannes,7440203,Q116611,210
Froës Ludovicus,,,320
Fronius Marcus,25470125,Q96697,"224,225"
"Frulovisiis, Titus Livius de",44738753,Q2436996,165
Füglistaller Leonhard,54942920,Q94789044,208
Fiirstenbergius Ferdinandus,,,"63-4,183"
Fuss Johannes Dominicus,68890752,Q1246066,"24,27,28,154"
Gabler Matthias,,,263
Gadolinus Johannes,807177,Q312571,280
Gaertner Johannes Alexander,48442861,Q12900481,292-3
Gager Gulielmus,37711092,Q8009615,167
Gagliuffus Faustus,,Q55227915,"29,95"
Gaguinus Robertus,14908169,Q3129976,"128,131,136,146"
Galante Hippolytus,,,65
"Galat(h)eus: see Ferrariis, Antonius de.",,,
Galenus,,Q8778,"8,234"
Galilei Galileo,2470550,Q307,"63,192"
Gallus Aegidius,,Q96439900,74
Gallus Antonius,,,284
Galluttius Tarquinius,57548384,Q21545736,63
Galvani Luigi,74068991,Q1589,66
Gambara Laurentius,44396441,Q16573531,"61,105,285"
"Ganda, Theocritus a: see Heinsius Daniel.",,,
Gansiniec Richard,,,248
Gantar Caietan,,,98
Garai Stephanus,40834417,Q1008130,217
Garbitius Matthias,5682091,Q125329,93
Garcilaso de la Vega,,,"105,107"
Garissolius Antonius,9473548,Q50826757,138
Garson Ronlad,,,326
Gaspari (Jespersdn) Gaspar,,,"263,264"
Gassendus Petrus,,Q192315,134
Gauci Paulus,,,103
Gauss Carl Friedrich,,Q6722,"27,44,190"
Gaza Theodorus,100189101,Q287485,85
Gazulli fratres,,,89
"Geiler von Kaysersberg, Johannes",,,196
Gelli Gian Battista,,,51
Gellius Aulus,,Q294800,"8,267"
Gemma Cornelius,,Q660644,232
Gemma Frisius,27696789,Q455406,155
Genovesi Victorius,45228672,Q429516,"27,65"
Gentilis Albericus,,Q1445910,"61,62,166"
Geoffrey of Monmouth,89028232,Q188344,170
Georgievitz Bartholomaeus,,Q12627648,224
Georgius (Frater) O.P.: see Anonymus Mühlbacensis,,,
Georgius Trapezuntius,102317361,Q533514,85
Geraldinus Alexander,,,"284,296"
Geraldinus Antonius,,,269
Gerbillon P.,,,43
Gerhard Laurentius,,,192
Gerner H.,,,273
Gerson Johannes,100160310,Q281179,"127,128,144"
Gesnerus Conradus,,Q60116,"208,209,210,236"
Geulinx Arnoldus,,Q316559,155
Gezelius Johannes Sr.,,,278
Gezelius Johannes Jr.,,,278
Gezelle Guido,,,"156,160"
Gherus Ranutius: see Gruterus Janus.,,Q64263,
Ghibbes: see Gibbesius,,,
Giannettasius Nicolaus,54292153,Q547891,"28,64"
Gibault H.G.,,,48
Gibbesius Jacobus A.,,,61
Gide André.,,Q47484,31
"Gil Polo, Gaspar",99469137,,189
Giovanni: see Johannes.,,,
Giovio: see Jovius .,,,
Giraldes Franciscus,,,120
Giraldus Cambrensis,,,"170,174"
Giraldus Lilius Gregorius,,Q448191,"21,23"
Girardini Louis Hue,,,292
"Gisbice , Paulus a",,,230
Glad: see Laetus .,,,
"Glandières de Balsac, Ludovicus",,,139
Glareanus Henricus,,Q124070,"206,209,210"
Glass Francis A.M.,,,290
Gnapheus Gulielmus,37073404,Q777548,"108,151,186,241"
"Gods, Damianus a",,,"120,121"
Goethe Johann W.,24602065,Q5879,"19,184,204"
Gomes de Lisboa,,,125
Gómez de Castro Alvarus,,Q6172688,110
González Thomas,,,297
Goritz: see Corycius.,,,
Goslicius Laurentius,,,246
Gott Samuel,24772205,Q7411514,165
Gouffaux Aemilius,,,156
Gouvea Andreas,,,"121,130"
Gouvea Antonius,,,"121,130"
Goynaeus Johannes Baptista,37731573,,"96,97"
Gradius Stephanus,,,94
"Grado, Jacobus de",,,299
Grammatici Latini,,,8
Grasser Johannes J.,,,207
Gratiadei Antonius,307313458,Q106811265,158
Gratius Ortuinus,100274693,Q4148122,189
Graves Robert,,,164
Gravina Gianvincenzo,,,64
Gray Thomas,,,167
Gregorius XIII,,,319
Gregorius Nazianzenus,,,8
Gregorius Nyssenus,,Q191734,"8,312"
Gregorius Samboritanus,88870379,Q12097735,239
Gregory David,,,169
Gregory James,,,169
Gretser Jacobus,59214175,Q97263,"26,188"
Griffith John,,,164
Grimm Jacob,,,49
Gnodzicki St.anislaus,,,246
Grotius Hugo,,Q154959,"42,62,112,154,155,199"
Gruterus Janus (Ranutius Gherus),,Q64263,"80,146,152,154,161,204"
Gualtherus (Gwalther) Rudolfus,,,208
Guarinus Baptista,,,56
Guarinus Veronensis,,Q539577,"8,31,45,56,60,73,78,215,299"
Guarna Andreas,,,26
Gudelinus P.,,,311
"Guericke, Otto von",39420589,Q60095,192
Guilandinus Melchior,,,313
Guillemain Franciscus,,,209
Guinisius Nicolaus,,,63
Gulielmus Tyrius,262737778,Q311822,86
Gunnarssan Halyard,,,269
Gustafsson Fridericus,,,279
Guyet Franciscus,17329116,Q1451058,132
Gwalther: see Gualtherus.,,,
Hadrianus Marius,71645733,Q4961044,"152,153"
Hagecius Th.,,,231-2
(H)alapi Constantinus,,,216
Haliste P.,,,259
Hall Joseph,,,165
Halldórsson Björn,121021851,Q3962751,270
"Haller, Albert von",49234879,Q123225,"208,209,210"
Halley Edmund,71400665,Q47434,166
Haloinus Cominius Georgius,100289355,Q42909781,"30,45,158"
Hafer Georgius,,,225
Hanno Carthaginiensis,29675181,,"8,209"
Hara(d): see Fara(d).,,,
Harasiewicz Michael,161545466,,248
Harderus Henricus,47834426,Q107481812,"265,273"
Hartman Johannes J.,,Q2761437,156
Harveius Gabriel,3250080,Q1275841,166
Harveius Gulielmus,29584187,Q93128,166
Haslobius Michael,77130824,Q1927719,182
"Hasselgreen, Elias Petri",,,278
Hassensteinius a Lobkowicz Bohuslaus,,Q694513,"23,30,32,228,229,230,237"
Haveman Georgius,,,"275,276`"
"Havre, Johannes van",10143765,Q94893537,154
Hayneccius Martinus,,,188
"Hazardière , Petrus de la",4964793,,"128,147"
Hedwig Johannes,,Q64256,"225,226"
Hegel Georg W.Fr.,89774942,Q9235,127
Hegelund Petrus,37998906,Q5796997,"266,273"
Hegius Alexander,192483375,Q706796,180
Heidensteinius Reinoldus,,Q103074,"245,246"
Heinsius Daniel,56635500,Q918731,"145,149,152,154,155,159,229,269"
"Heinsius Nicolaus, sr.",95302161,Q510116,"61,152,154"
Heliae (Helgesen) Petrus,,,266
Helianus Ludovicus,,,129
Heliconius (Hilchen) David,35268419,Q4497628,259
Heliodorus,,Q313011,8
Helmontius Johannes Baptista,32800169,Q294169,"155,225"
Hemmy Gisbertus,,,312
Hémon Louis,36919573,Q561378,31
Hemsterhusius Tiberius,15057396,Q741901,28
Henricpetri (Henricus Petrus),106970891,Q55842868,210
Henricus Lettus,,,258
Henry VIII,172419710,Q38370,166
Herbenus Mattaheus,,,149
Herbersteinius Sigismundus,,Q700720,"30,96,97"
Herbert George,71487054,Q317887,"167,171,175"
Herdtrich Chr.,,,322
Hermannus Daniel,,,"239,240,260"
Hermannus Gulielmus Goudanus,137145544176196660008,Q19209594,150
Hermelinus Olaus,10763998,Q432895,"260,274,275"
Hermerica,,,9
Hermogenes Tarsensis,,,9
Herodotus,,,9
"Herrera, Cyprianus de",,,301
Hesiodus,,,93
Hessler Franciscus,22902216,Q65013951,317
Hieronymus (Sanctus),95147024,Q44248,"1,9,25,32"
Hieronymus Papiensis,200196685,,"129,142"
Higham Thomas F.,,,164
Hilchen: see Heliconius,,,
Hildegardis Bingensis,87772061,Q70991,31
Hilduinus,,,7
Hinderbach Johannes,,,77
Hippocrates,,,9
Hobbes Thomas,,,166
Hoddeiovinus Johannes,,,"228,237"
Hoeufft Jacobus H.,15548571,Q3805782,156
"Hojeda, Diego de",27318897,Q2877871,59
Holberg Ludovicus,,Q216692,"27,172,265,267,268,271"
Holstenius Lucas,,,325
Homerus,,Q6691,"4,9,130,185,209,298"
(Pseudo-)Homerica,,,9
Honerdus Rochus,36828811,Q56006640,154
Honterus Johannes,,Q738256,224
Hontheim: see Febronius.,,,
Hopkins G. Manley,9847864,Q313693,167
Hopner Johannes,,,"265,273"
Horapollo,250688796,,9
Horatius,,Q6197,"1,9,10,32,63,70,100,135,167,181,200,242,243,251,265,268,284,295-6,306,312,320"
Horatius Romanus,,Q88201937,32
Horcicky: see Sinapius.,,,
Horius Nicolaus,,,135
Hortensius Maurus,40480047,Q15432608,"62,204,275"
Hosius Stanislaus,66506400,Q61962,246
Hospitalius (de L'Hospital) Michael,100198491,Q551804,135
Hosschius Sidronius,45131215,Q7509501,"107,154"
Hotman Franciscus,44300253,Q561737,133
Housman Alfred E.,49249069,Q351410,166
Hroswitha,9927322,Q170248,"23,31,136"
Huetius Daniel,,,147
Hugenius: see Huygens,,,
Hugo Hermannus,,,154
Hussovianus Nicolaus,171323238,Q1376763,239
Huttenus Udalricus,,Q77107,"29,30,48,96,181,182,189,191,274"
Huxley Herbert H.,,,287
Huygens (Hugenius) Constantinus,12442894,Q560746,49
Ibrahim al-Hàkilánl: see Abraham Ecchellensis.,,,
Ilowski Stanislaus,,,245:
Immé Antonino,,,48
Immé-Métais Geneviéve,,,"31,48"
Increase (Crescentius ) Mather,56653545,Q2632251,290
Index librorum prohibitorum,,,60
Ines Albertus,19660223,Q4200968,243
Innocentius III,,,"22,23"
Innocentius VIII,,,74
Institoris Henricus,100281294,Q61019,191
Institoris Michael,25152820105000681419,Q112521351,234
Intorcetta Prosper,45107415,Q3924133,322
"Iriarte, Johannes de",17575244,Q932759,"107,108"
Irsy Josephus,,,217
Isocrates,,,10
Istvànffy Nicolaus,76444890,Q900908,"215,216"
Iturriaga Josephus M.,,,297
Ivorra Martinus,,,109
Jacobaeus Jacobus,,,234
Jacobaeus Matthias,,,275
Jacobus de Voragine,,,23
Jallosics J.Andreas,,,216
Jani (Jensen) Clemens,,,270
Janicius Clemens,57967892,Q1774024,"234,242"
Janssonius Johannes,34144648241061498880,,281
Janus Claudius,,,265
Janus Pannonius,,Q360094,"39,178,214,215,216"
Janus Secundus,,Q614229,"59,61,118,129,151,152,153,158,184,199,242"
Jaurès Jean,,Q12688,127
Jespersbn: see Gaspari.,,,
Jessenius Johannes,,Q699651,234
Jetzler Petrus Johannes,,,210
Jimenez Cisnero Francisco,86852237,Q342392,"110,111"
Johannes XXIII,,,46
Johannes-Paulus II,,,"246,247"
Johannes de Bonis,,,7
Johannes Duns Scotus,120697851,Q190089,"23,172"
Johannes ab Hoveden,,,29
Johannes de Monsteriolo: see Montreuil.,,,
Johannes Noviforensis (von Neumarkt),22528571,,"155,229"
Johannes de Pibra,,,32
Johannes Ravennas: see Conversinus.,,,
Johannes Visliciensis,54135810,Q3505401,"242,244"
Johnson Samuel,7406725,Q183266,166
Johnston Arthur,,,"169,176"
Jonae (Jónsson) Arngrimus,32035838,Q693531,269
Joncre Johannes,,,244
"Jones, Sir William",,,317
Jordanus Thomas,,,225
Jordensius Gerardus,282912583,Q3104310,"152,154"
Josiύ Blasius,,,91
Josset Pierre,,,134
Jouffroy Jean,,Q592641,132
Jouvency: see Juvencius.,,,
Jovanovich Eric,,,287-8
Jové Emmanuel,,,113
Jovius (Giovio) Paulus,64015055,Q437543,62
Joyce James,44300643,Q6882,119
Juhàsz Ladislaus,55125461,Q27994000,217
Julianus Apostata,,,10
Julius II,,,"58,I20"
Juslenius Daniel,,Q3356596,278
Justinianus,,,24
Juusten Paulus,,,"274,275"
Juvenalis,83985148,Q193800,"10,101,119,293,295"
Juvencius (Jouvency ) Josephus,121702297,Q3185841,"140,Ι87"
Kaempfer Engelbertus,,,192
Käsenbrot: see Augustinus Moravus.,,,
Kaldenbachius Christianus,,,183
Kalinski Johannes Damascenus,,,243-4
Kan J.,,,324
Kanon Andreas,163509519,Q100327291,243
Karamaneo Matijasevi Antonius,,,93
Karoch Samuel,10640692,Q4215612,180
Kant Immanuel,,,"127,191"
Katancic Matthias P.,,Q1038381,"95,100"
Kazarow G. I.,120702548,Q2698378,92
Kepler Johannes,,,192
Ker John,5083666,Q15524992,169
Kerckmeister Johannes,315073691,Q92464413,180
Kinaloch: see Kynalochus.,,,
Kircher Athanasius,31998409,Q76738,"36,192,323"
Klose E.,,,28
"Knobelsdorff, Eustachius de",66586092,Q104474,130
Knopken A.,151746467,Q95182,258
Knuyt van Slyterhoven Hermannus,,,118
Kochanowski: see Cochanovius.,,,
Kocianciύ Stephanus,,,98
Kojalovicius Adalbertus,,,245
Kolar A.,,,233
Kollär J.,,,234
Konarski Stanislaus,,Q314261,"244,246,249"
Kopievskij Elias Fedorovich,,,254
Korsch Theodorus,,,256
Kositzki Gr.,,,256
Koutroubas Demetrius E.,101142863,,86
Krajskij P.,,,255
Kromer: see Cromerus.,,,
Krzycki: see Cricius.,,,
Kuchler Johannes,,,241
Kulczynski Ignatius,29923910,Q4246763,248
Kumaniecki Casimir,,Q11737849,247
Kuniύ: see Cunichius,,,
Kurren Carolus Ph. Fr.,,,185
Kuypers Gerardus,,,315
Kvetnickij Theodorus,,,255
Kynalochus David,,,169
Labrosse Joseph (Angelus a S. Josepho),,,315
Lackner Christophorus,333050,Q1127235,220
Lacoste Emile,,,139
Lactantius,,,10
Laetus (Glad) Erasmus M.,69090468,Q5760765,264
Laevinius: see Livinius.,,,
"La Fontaine, Jean de la",,,"137,150"
Lagalla Julius Caesar,5269694,,86
Lambard William,,,166
Lambinus Dionysius,100217572,"Q110581544,Q1187482",146
"Lamport, Guillén de",,,297
Lance William,,,290
Landinus Christophorus,30887708,,58
Landivar Raphael,64109439,Q1216154,"300,303"
Landor Walter S.,46796707,Q645138,"27,167,175"
Lanfredinus Ursinus,,,74
Lang Franciscus,,,187
Langius Rudolfus,17608137,Q113004,180
"Lapide, Cornelius a",,,"155,287"
Latinus Johannes,,,"311,314"
Lauremberg Johannes,,,"183,188,263"
Lauterbachius Johannes,,,182
Lazar Janos,,,217
Lazarellus Ludovicus,,Q683317,4
Lazarescu Traianus,70439970,Q15427785,226
Lebègue J.,,,128
Lebel Johannes,,,225
Leech: see Leochaeus.,,,
Lefèvre d'Etaples (Faber Stapulensis) J.,100170223,Q356513,"128,131,132"
Legge Richard,,,167
Leibniz Gottfried W.,9849392,Q9047,"113,127,184,191,204,323"
Leigh Michael,,,269
Le Jay Gabriel,59108121,Q94915114,140
Lelandus Johannes,14849374,Q1398356,167
Lenard Alexander,,,218
Lemnius Simon,,Q122070,"178,207,208,209,213"
Leo X,96579640,Q49237,"58,74,102,239,313"
Leo XIII,,Q43922,"42,65,"
Leo Africanus (Al-Hassan ibn Mohammed al-Wazzan),,,313
Leochaeus(Leech) Johannes,,,169
Leopardi Giacomo,12311353,Q172599,64
Lernutius Janus,42769155,Q2537143,"152,154"
Leroy (Regius) Ludovicus,,,249
Lessing G.E.,9849550,Q34628,"137,184,185"
Lessius Leonardus,,,155
Leutholf: see Ludolphus.,,,
Lummenaeus a Marca Jacobus,1396152636173620084736,Q112481178,"61,74"
Leverett John,,,290
Lund Zacharias,72249571,Q139517,265
Libanius,,,"10,11"
Lupeius Alfonsus Cureleanus,,,231
Libavius Andreas,,,192
Lupus Ferrariensis,2478602,Q675928,22
Libenus Johannes,,,154
Lutherus Martinus,14773105,Q9554,"127,133,181,190,191,207,224"
Ligurinus,,,23
Linacre Thomas,,,"165,166"
Luxdorphius B.W.,66805735,Q3481216,"265,272"
Linnaeus Carolus,34594730,Q1043,279
Ly Andreas,,,323
Liperi Antonius,,,68
Lymvicus Andreas,,,"61,265"
Lipsius Justus,,Q315871,"42,61,149,153,159,166,171,182,189,220,232,243,259"
Mabillon J.,,Q354563,134
L'Isle: see Menapius.,,,
Macchiavelli N.,,,60
Livinius (Laevinius) Apollonius,,,284
Macedo Franciscus,,,277
"Livius, Titus",99942145,Q2039,"11,240,267,276"
McEncroe: see Delacroix,,,
"Llanos, Bernardinus de",,,"297,306"
Macrinus Salmonius,,Q1685811,"29,135"
Lobelius Matthias,62480800,Q1860320,155
Macrobius,39387062,Q313934,12
Loccenius Johannes,,Q5962036,276
Macropedius Georgius,,,"151,160,186"
Locke John,,,166
Madsen Jacobus,33146825101507631527,Q12318967,267
"Lombardus Petrus, Hibernus",,,171
Madvig J. N.,,Q708414,267
Lomonossov Michael V.,46896023,Q58720,255
Maffacini Henricus,,,300
(Pseudo-)Longinus,,,"11,210"
Maffei Johannes P.,95224833,Q324040,"63,316"
Longinus: see Dlugossius.,,,
Magni Nicolaus,,,275
Longolius (de Longueil) Christophorus,,,"15,132"
Magnus Johannes,,,275
Magnus Olaus,12358154,Q315804,"275,283"
Ldnnrot Elias,,,280
Mahne Willem,52523227,Q55233301,154
López Johannes Fr.,,,303
Mai(o)r Jo(ha)n(nes),,,168
López Bravo Mathaeus,,,112
Makin Thomas,,Q94140015,289
López Soto Victor,,,113
Malapertius Carolus,89295135,Q744091,154
Lorenzo de Medici,,Q177854,45
Maldonado Johannes,71495510,Q352804,"108,110"
Loschi ( De Luschis) Antonius,,Q2857327,59
"Malinovski, Michael de",,,248
Lotharius Cardinalis: see Innocentius III,,,
Mambrun Petrus,62625580,Q55874834,138
Lotichius Petrus Secundus,,Q14933262,"152,181,199,204,207,242,265"
Mancinellus Antonius,,,"56,268"
Manetti Agnolo,,,9
Lovato (Lupatus) Lovati,112144648445934993408,Q1091362,"54,55"
Manilius,,,12
Loz Poninski Antonius,,,243
Mannelli Soverio,,,292
Lucanus,,Q188646,"11,230,246,295"
"Manuel, King of Portugal",,,120
Lucas (Frater),,,18
Manutius Aldus,,,13
Lucesole Aloysius,,,302
Manzanares Ferdinandus,,,104
Lucet J. J.,,,138
Manzoni A.,,,"29,64"
Lucianus,,Q177847,11
"Mara, Gulielmus de -",,,135
Lucretius,,Q47154,"11,168,298"
Marchesius Franciscus Aelius,120315671,Q88195433,7
Luder Petrus,,Q89882,180
Marcus Aurelius,,,47
Ludolfus de Saxonia,,,23
"Mariana, Johannes de-",89794074,Q939889,"110,112"
Ludolphus (Leutolf) Hiob,,,313
Marineus Lucius,,,104
"Ludzisko, Johannes a",,,240
Marivorda Adeodatus,,,84
Luis de Leon,,,107
Marracci Ludovicus,61585369,Q780362,315
Lukacsi Christophorus,,,224
Marrasius Johannes,219661074,Q99308713,"58,67"
Marschalk Nicolaus,,,182
Martialis,8099277,Q2098,"12,88,101,170"
Martianus Capella,,Q348408,12
Martinek Jan,,,233
Martinelli Nel'o,,,65
Martinius: see Mortensen.,,,
Martinus de Dacia,,,223
Martyn John,,,325
Martyr Anglerius Petrus,,,"104,110,284"
"Marullus Tarchaniota , Michael",,Q672824,"84,88,89"
Marulus Marcus,19697406,Q336571,"93,94,100"
Masenius Jacobus,,Q97336,"186,188,217"
Massiaeus Gulielmus,73843977,Q3120080,138
Masurius (Desmasures) Ludovicus,,,130
Mather Cotton,,Q380719,291
Matier Kenneth,,,312
Mathias Miechovita,7515044,Q2452397,245
"Maupassant, Guy de -",29537765,Q9327,218
Maurocordatos Alexander,,,85
Maurolycus Franciscus,34537888,Q736315,85
Maurus Hortensius,,,"62,204,275"
Maximianus Etruscus,,,"7,12"
Maximilianus Transylvanus,,,216
Mayansius Georgius,34477965,Q3116338,111
Mayre John,,,"103,138"
Mazarin (Cardinal),,,137
Mazzolari: see Parthenius.,,,
Medius (Mezzo) Thomas,,,89
Meggle Basilius,170881857,Q810165,185
Mehus Laurentius,10132569,Q20661806,66
Melanchthon Philippus,76319978,Q76325,"48,109,181,182,188,191,203,207,241,264,274"
Melissus Paulus,89425654,Q882363,"10,16,61,152,182,183,200,204,230,232"
Melo: Johannes de -,,,123
Menagius Aegidius,2479653,Q648856,49
Menapius (de l'Isle) Gulielmus,97923660,Q55124633,132
Mencken Johannes Burcardus,,,192
Mendes de Aguiar Ludovicus,,,309
Meneust F.,,,134
Menius Fridericus,23070242,Q5984508,"260,262"
Mercator Gerardus,30352476,Q6353,"155,284"
Mercurialis Hieronymus,22191701,Q980560,"36,62"
Mercurius veridicus ex Hungaria,,,216
Mérimée Prosper,,Q160333,70
Merone Emilio,64942127,Q764042,65
Mersenne Marin,41843933,Q188663,"127,134"
Messenius Johannes,,,277
Meursius Johannes,100203633,Q547901,"132,264"
Mewe William,37262171,Q8015597,167
Meyerus Livinus,71417295,Q97068070,154
Mezzo: see Medius.,,,
Michalo Lithuanus,,,245
Mickiewicz Adam,,Q79822,29
Mick' Quirinus,,,"233,285"
Micyllus Jacobus,,Q84776,182
Migne J.P.,,Q326431,134
Mihai'ov G.,,,92
Mikojan Anastas,,,254
Miles (Cavaleiro) Stephanus,,,118
Milton John,,Q79759,"52,61,84,107,164,167,175,275"
Miñana Josephus Emmanuel,2492434,Q54921674,110
Minturnus Antonius,29685362,Q605110,62
Mir Joseph M.,4526589,Q12900542,113
Mittler Th.,,,324
Mizuno Aritsuno,,,320
Moccia Johannes,,,127
Modrevius Fricius Andreas,46807645,Q728305,246
Mogyorossy: see Avellanus.,,,
Möller Gregorius Petri,,,270
Moller Paul M.,,,266
Molière J.B.,2474502,Q687,"47,107,137,140,145,217"
Molina Johannes Ignatius,,,304
Molina Ludovicus,,,102
Mollerus Henricus,,,274
Mollerus J.,,,"264,265,272"
Mollin N.,,,259
Mo'za Franciscus,,,61
Monavius Jacobus,,Q107975,182
Monsmoretanus Hubertus,257121388,,144
Montaltius L.: see Pascal Bl.,,,
"Montanus Aras, Benedictus",,,106
Montanus Henricus Osiliensis,,,258
Montesquieu Ch.-L. de,27069096,Q15975,133
Monti Vincenzo,,,91
"Montreuil (Monsteriolo), Jean de",,,128
Moorman Fridericus,,,180
Morabito Giuseppe,57008072,Q1243475,67
Morata Olympia,13107257,Q272798,31
Moravetz F.,,,233
Moravus Augustinus,63369636,,"229,230"
"More, Thomas",,Q42544,"31,36,113,138,164,165,284"
Moreira Hilarius,,,126
Morgagni Johannes Baptista,68968590,Q511841,66
Morhofius Daniel Georgius,24746228,Q99609,184
Morisot Bernardus,,,"132,285,302"
Morrell William,,,289
Mortensen Martinus,,,270
Moscherosch Johannes Michael,32079131,Q110729,183
Moschus,,,12
Miiller Gerard Frid.,,,255
Münster Sebastianus,51698921,Q61073,67
Müntzer Thomas:,,,
Mufioz Hieronymus,,,232
Muntaner Juan,,,107
Muratori Lud. Ant.,68933348,Q471529,66
Mure Adam,,,168
Muretus Johannes,55015569,,"127,128"
Muretus Marcus Antonius,,Q1345657,"57,61,130,132,137,139,146"
Murgatroyd Pau',,,312
Musaeus,,,13
Mussard Petrus,8330533,Q56006733,210
Mussatus Albertinus,,Q737321,"33,55,59"
Mussonius Petrus,,,139
Nachov Isaac,,,257
Nancelius Nicolaus,27117173,Q3340954,131
Naogeorgus Thomas,61559914,Q110708,"48,181,188"
Napier John,69004697,Q159592,169
Narssius Johannes,45152706,Q6216874,276
Naudaeus Gabriel,73857849,Q710176,"63,86"
Naugerius (Navagero) Antonius,64016044,Q172308,"61,83,152"
Nebrissensis (de Lebrija) Antonius,71379496,Q380804,"104,109,111,114,115,118,120"
Negrone (Nigronius) Johannes Baptista,,,69
Nemesius Emesenus,,,13
Neniczka Janus,,,250
Neumarkt: see Johannes Noviforensis.,,,
Neustetter Erasmus,,Q998390,182
Newton Isaac,,,"166,169"
Niavis (Schneevogel) Paulus,,,180
Nicetas Callistus,,,312
Nicolai Bero,,,274
Nicolai (Nielsen) Laurentius,24734152,Q4590689,269
Nicolaus Cusanus,89623095,Q154751,"25,179,191"
Nicolaus Grudius,,,"152,153"
Nicole Pierre,,,134
Nielsen: see Nicolai and Nilsson.,288770109,,
Nilsson Jens,,,"263,269"
Nizolius Marius,10640980,Q352573,62
Nodotius Franciscus,,,13
Noël Franciscus,9888919,Q506728,322
Nogaro'ae sorores,,,31
Novak Jan,116710070,Q112387122,"188,233"
Nowowjeski Rudolf,,,244
Oakes Uriah,,,290
"Oberstain, Paulus de",,,97
Ockham William,41835567,Q43936,23
O'Connell Robert,,,172
Odasi Tifo,19831274,Q3856850,60
O'Ferrall Richard,1373152636170119938048,,172
Olahus Nicolaus,9923869,Q497524,"178,214,221,223"
Oldoinus Augustinus,89318352,Q4821254,73
Olesnicki Zbigniew,37308299,Q168150,240
"Oliveira, Clemente de-",99299938,,120
"Oliveira, Timoteo de-",,,125
Olivetus Josephus,,,147
Olivierius Johannes Baptista,,,256
Olizarovius A.A.,,,246
Olmo Michael,,,"112,113"
Opitz Martinus,,Q60946,"29,49,53,181,196,200"
Orfelin Zacharias,3268744,Q2983199,95
Origenes,,Q170472,13
Orlandini Nicolaus,2813152,Q7024607,66
"Orozco, Alfonsus de-",73917247,Q2056008,109
Orphica,,,13
Ortelius Abraham,32104723,Q232916,155
Orzelski Stanislaus,,,251
Osorius Hieronymus,,Q6185660,"119,120"
Ostrorog Johannes,,,240
Othonia Johanna,,,31
Otto Freisingensis,,,23
Oudin Franciscus,61578254,Q30100207,138
Oudin Nicolaus,,,64
Ovidius,,Q7198,"1,13,19,22,100,152,181,197,207,231,243,268,295,298,308,316,320"
Owen Goronwy,,,171
Owen (Audoenus) Johannes,,,"170,265"
Pacificus Maximus,59235606,Q55874870,58
Padberg-Drenkpol Augustus,3847419,Q94944302,309
Paganinus Gaudentius,88607494,Q2046132,210
Pereira Thomas,,Q2735436,324
Palacky Franciscus,61602031,Q159642,233
Palaeologus Johannes,,,85
Palata Franciscus,,,233
Palearius Aonius,,,"61,298"
Palingenius Stellatus Marcellus,39494118,Q261554,61
Palladius Domitius,2601470,Q94909595,74
Palmarius (Le Paulmier) Julianus,14922874,Q3189557,231
Palmotta Junius,,,277
Palmyrenus Johannes Laurentius,121940484,,"108,109,116"
Pannonius: see Janus.,,,
Perez: see Petreius.,,,
Panofsky Erwin,76321051,Q57656,193
Panormitanus: see Beccadellius.,,,
Paoli Ugo Enrico,,,65
Papaeus Petrus,,,"108,151"
Paraeus (Wängler) Johannes Philippus,31987477,Q110381,222
Parkhurst John,,,75
Parmenius Stephanus,15116568,Q850841,"214,285"
Parrales Ignatius,,,300
Parreño Josephus Julianus,25806617,Q4345807,303
Parthenius Antonius,36346776,Q28479498,6
Parthenius (Mazzolari) Johannes M.,,,64
Paruta F.,,,76
Pascal Blaise,,Q1290,134
Pascalis Ludovicus,,Q3839138,93
Pascoli Johannes,,Q375998,"27,46,65,73,156"
Pasquier (Paschasius) Stephanus,61560863,Q290040,137
Passerinus Aloysius,,,18
Pastorius Joachim,,,245
Paulmier: see Palmarius.,,,
Paulus III,,Q133001,"74,296"
Paulus Aegineta,,,209
Paulus Crosnensis,188916297,Q11814534,"239,242"
Pauthier Jean-Pierre,,,324
Pecci: see Leo XIII.,,,
Peckham Johannes,,,24
Pedersen Christianus,37265876,Q219010,263
Pedioneus Rhaetus Johannes,,,207
Peerlkamp Petrus Hofman,,,"155,156,157"
Pekkanen Thomas,32119968,Q773250,279
Pelbartus a Temesvár,,,215
Pélerin (Viator) Jean,,,140
Peletier Jean,,,"46,47"
Pereira Bartholomaeus,68507159,Q94685448,122
Pereira P.,,,43
Perger Bernardus,46898743,Q19935841,"97,100"
Peron Joachim,,,133
Perizonius Jacobus,57415655,Q963519,109
Perottus Nicolaus,39475804,Q326037,"56,85,97,149"
Perpinianus Petrus Joh.,,,"119,122"
Persius,,,13
Petavius Dionysius,51717250,Q1187608,140
Pętkowski Georgius,53142479,Q63120874,244
Petraeus Eskil,,Q6045757,278
