name,viaf,wiki,pages
Barclaius Johannes,30425,Q1699269,"32,39,131,132,137,168,169,184"
Bardhi Fr.: see Blanchus Fr.,,,
Barcaeus Gaspar,,,"269,309"
Barletus Marinus,,Q464230,"88,89,90"
Baronius Bonàventura,198817134,,172
Baronius Caesar,17326794,Q317900,"62,190"
"Barros, Johannes de",17235538,Q703704,125
Barthius Gaspar,15563174,Q76182,"106,183,189,199"
Bartholdus Georgius,,,230
Bartholomaeus Francofordinus,,,217
Bartoli Alfredo,39773191,Q3611340,"65,102"
Bartolinus Caspar,20555797,Q264593,268
Bartolinus Caspar,66581681,Q537984,"265,268"
Bartolinus Thomas,27864975,Q365909,268
Barzaeus Johannes,52794843,Q1697218,207
Barzizza Gaspar,79253953,Q1236187,"56,97"
Basilius Magnus,,,5
Basilius Leonardus,,,225
Basinius Basinii,47108359,Q810182,"4,58"
Basinus Thomas,89665967,Q3524892,"128,131"
Baudelaire Charles,17218730,Q501,29
Baudius Dominicus,,,149
Baumgarten A. G.,73862436,Q76517,"191,204"
Bayer Theophilus Sigismundus,2488831,Q1539888,323:
Beatus Rhenanus,39415982,Q646092,189
Bebelius Henricus,24719906,Q454824,"182,199"
Becanus Gulielmus,45238547,Q59530431,"154,277"
"Beccadellius Antonius, Panormitanus",,Q599858,"58,67,104"
Becerra Alfredus,63736734,,300
Becichemus Martinus,89109505,Q6763694,"88,89"
Becker: see Pistorius R.,,,
Becmanus Christianus,348396,Q1078925,"28,42"
Beerbohm Max,,,164
Belago Melchior,,,126
Belius Matthias,,,"234,235"
Belius Carolus,,,"234,235"
Bellaius (Du Bellay) Joachim,39447168,Q18420,"29,46,47,48,61,105,127,136,140,142"
Belleau Remi,12304848,Q561709,136
Bello Andrès,22152206,Q439195,303
Bembus Petrus,54144140,Q334188,"29,45,59,129,165,284"
Benario Herbert W.,,,290
"Bencius Plautus, Franciscus",14926743,Q30014571,122
"Benedictus Laurentius, Nodozierinus",,,234
Benessa Damianus,,Q31198595,94
"Benignus: see Salviatis, G. de",,,
"Ben Jelloun, Tahar",61541657,Q334989,47
Bentley Richard,27862472,Q712899,166
Benvenutus Imolensis,,,46
Benzelius Ericus,9857012,Q1340404,277
Bergenhielm Johannes,15855827,Q5571604,277
Bergmann Johannes,,,279
Bering Vitus,,,"265,273"
Beristain J.M.,,,115
"Berlichingen, Joseph, Graf von",,,184
Bernardes de Sousa Enes Manuel,,,123
"Bernardi Paulus, Vidalinus",,,270
"Beroaldus Philippus, sr.",51797072,Q3071870,"118,128"
"Beroaldus Philippus, jr.",24651243,Q1413816,17
Berzeviczy Gregorius,18361923,Q715058,216
"Bessarion, Cardinalis",100183781,Q299446,85
Betulius (Birck) Sixtus,12346741,Q77979,187
